Name	treepos	Nprot	Median	Mean	Std	Q1	Q3	Min	Max	Sum
Sordaria_macrospora	161	9890	-0.43	-0.44	0.39	-0.67	-0.21	-2.34	1.85	-4315.16
Neurospora_crassa	162	9759	-0.42	-0.43	0.38	-0.66	-0.21	-2.42	1.45	-4194.99
Thermothelomyces_thermophila	163	9079	-0.38	-0.38	0.39	-0.62	-0.17	-2.16	1.47	-3470.47
Chaetomium_globosum	164	11042	-0.38	-0.38	0.35	-0.59	-0.18	-2.39	1.23	-4222.77
Chaetomium_thermophilum	165	7183	-0.41	-0.41	0.38	-0.64	-0.2	-2.31	1.42	-2967.26
Thielavia_terrestris	166	9760	-0.33	-0.33	0.4	-0.57	-0.11	-2.26	1.95	-3216.32
Grosmannia_clavigera	167	8311	-0.29	-0.29	0.36	-0.52	-0.08	-1.99	1.44	-2433.32
Pochonia_chlamydosporia	168	14143	-0.32	-0.32	0.37	-0.54	-0.13	-2.38	1.23	-4538.19
Trichoderma_atroviride	169	11770	-0.31	-0.31	0.39	-0.53	-0.11	-2.35	1.48	-3657.59
Trichoderma_reesei	170	9112	-0.33	-0.34	0.39	-0.56	-0.13	-3.16	1.54	-3053.52
Trichoderma_virens	171	12383	-0.3	-0.3	0.38	-0.52	-0.1	-2.31	1.52	-3745.75
Fusarium_venenatum	172	13945	-0.34	-0.35	0.39	-0.57	-0.14	-2.54	1.38	-4821.79
Fusarium_graminearum	173	14160	-0.35	-0.36	0.39	-0.58	-0.15	-2.22	1.67	-5046.25
Fusarium_oxysporum	174	16952	-0.33	-0.33	0.39	-0.55	-0.14	-2.63	2.15	-5653.82
Fusarium_verticillioides	175	15889	-0.34	-0.34	0.39	-0.56	-0.14	-2.2	1.46	-5331.61
Colletotrichum_higginsianum	176	16110	-0.31	-0.32	0.41	-0.56	-0.1	-2.57	1.36	-5158.2
Colletotrichum_graminicola	177	12019	-0.32	-0.33	0.39	-0.56	-0.11	-2.41	1.44	-3912.39
Colletotrichum_orchidophilum	178	14495	-0.32	-0.32	0.39	-0.56	-0.11	-2.7	1.38	-4643.99
Verticillium_dahliae	179	10530	-0.34	-0.34	0.38	-0.57	-0.12	-2.12	1.23	-3570.26
Verticillium_alfalfae	180	10233	-0.34	-0.34	0.38	-0.58	-0.14	-3.32	1.66	-3524.35
Amborella_trichopoda	181	27371	-0.27	-0.29	0.42	-0.54	-0.05	-3.93	1.6	-8053.38
Baudoinia_panamericana	182	10508	-0.35	-0.34	0.38	-0.58	-0.14	-2.17	1.4	-3617.11
Zymoseptoria_tritici	183	10972	-0.37	-0.36	0.39	-0.6	-0.16	-2.24	1.52	-4000.87
Lucilia_cuprina	184	14353	-0.39	-0.38	0.45	-0.66	-0.13	-2.87	3.04	-5416.42
