	Heterocephalus_glaber	Bos_taurus	Sus_scrofa	Pongo_abelii	Loxodonta_africana	Balaenoptera_acutorostrata	Delphinapterus_leucas	Tursiops_truncatus	Cavia_porcellus	Oryctolagus_cuniculus	Felis_catus	Ailuropoda_melanoleuca	Canis_lupus	Homo_sapiens	Pan_troglodytes	Pan_paniscus	Papio_anubis	Macaca_mulatta	Macaca_fascicularis	Macaca_nemestrina	Mandrillus_leucophaeus	Cercocebus_atys	Pteropus_alecto	Nomascus_leucogenys	Aotus_nancymaae	Ursus_maritimus	Rattus_norvegicus	Mus_musculus	Meleagris_gallopavo	Gallus_gallus	Anas_platyrhynchos	Manacus_vitellinus	Anolis_carolinensis	Alligator_mississippiensis	Alligator_sinensis	Xenopus_tropicalis	Nothobranchius_furzeri	Oryzias_latipes	Salmo_salar	Oncorhynchus_mykiss	Oreochromis_niloticus	Astyanax_mexicanus	Taeniopygia_guttata	Branchiostoma_floridae	Strongylocentrotus_purpuratus	Crassostrea_gigas	Cebus_capucinus	Tinamus_guttatus	Loa_loa	Strongyloides_ratti	Brugia_malayi	Caenorhabditis_elegans	Caenorhabditis_remanei	Zootermopsis_nevadensis	Oryza_brachyantha	Capsaspora_owczarzaki	Guillardia_theta	Auxenochlorella_protothecoides	Micromonas_pusilla	Micromonas_commoda	Ostreococcus_tauri	Ostreococcus_sp.	Physcomitrella_patens	Selaginella_moellendorffii	Habropoda_laboriosa	Cicer_arietinum	Cajanus_cajan	Eutrema_salsugineum	Arabidopsis_lyrata	Brassica_napus	Arabidopsis_thaliana	Rosa_chinensis	Prunus_persica	Populus_trichocarpa	Eucalyptus_grandis	Cucumis_sativus	Helianthus_annuus	Erythranthe_guttata	Nicotiana_attenuata	Solanum_tuberosum	Nicotiana_tabacum	Solanum_lycopersicum	Capsicum_annuum	Spinacia_oleracea	Gossypium_hirsutum	Gossypium_raimondii	Morus_notabilis	Citrus_clementina	Citrus_sinensis	Musa_acuminata	Setaria_italica	Sorghum_bicolor	Zea_mays	Oryza_sativa	Brachypodium_distachyon	Cyanidioschyzon_merolae	Emiliania_huxleyi	Physeter_catodon	Theileria_parva	Theileria_annulata	Theileria_equi	Cryptosporidium_muris	Cryptosporidium_parvum	Thalassiosira_pseudonana	Phytophthora_parasitica	Phytophthora_infestans	Aphanomyces_invadans	Aphanomyces_astaci	Lobosporangium_transversale	Batrachochytrium_dendrobatidis	Rhizophagus_irregularis	Helobdella_robusta	Phycomyces_blakesleeanus	Wallemia_ichthyophaga	Malassezia_pachydermatis	Malassezia_globosa	Pseudozyma_hubeiensis	Kalmanozyma_brasiliensis	Kockovaella_imperatae	Cryptococcus_neoformans	Cryptococcus_gattii	Mixia_osmundae	Rhodotorula_graminis	Melampsora_larici-populina	Heterobasidion_irregulare	Dictyostelium_purpureum	Postia_placenta	Schizosaccharomyces_japonicus	Pneumocystis_jirovecii	Pneumocystis_murina	Tuber_melanosporum	Marssonina_brunnea	Sclerotinia_sclerotiorum	Leptosphaeria_maculans	Bipolaris_zeicola	Parastagonospora_nodorum	Fonsecaea_erecta	Coccidioides_immitis	Uncinocarpus_reesii	Trichophyton_benhamiae	Nannizzia_gypsea	Microsporum_canis	Talaromyces_stipitatus	Aspergillus_terreus	Aspergillus_clavatus	Aspergillus_fumigatus	Aspergillus_thermomutatus	Aspergillus_novofumigatus	Aspergillus_niger	Aspergillus_sclerotioniger	Aspergillus_heteromorphus	Aspergillus_eucalypticola	Aspergillus_oryzae	Aspergillus_nomius	Pestalotiopsis_fici	Aspergillus_bombycis	Histoplasma_capsulatum	Blastomyces_gilchristii	Paracoccidioides_brasiliensis	Paracoccidioides_lutzii	Sordaria_macrospora	Neurospora_crassa	Thermothelomyces_thermophila	Chaetomium_globosum	Chaetomium_thermophilum	Thielavia_terrestris	Grosmannia_clavigera	Pochonia_chlamydosporia	Trichoderma_atroviride	Trichoderma_reesei	Trichoderma_virens	Fusarium_venenatum	Fusarium_graminearum	Fusarium_oxysporum	Fusarium_verticillioides	Colletotrichum_higginsianum	Colletotrichum_graminicola	Colletotrichum_orchidophilum	Verticillium_dahliae	Verticillium_alfalfae	Amborella_trichopoda	Baudoinia_panamericana	Zymoseptoria_tritici	Lucilia_cuprina	Candida_auris	Candida_haemulonis	Candida_pseudohaemulonis	Clavispora_lusitaniae	Metschnikowia_bicuspidata	Scheffersomyces_stipitis	Meyerozyma_guilliermondii	Talaromyces_marneffei	Candida_albicans	Candida_viswanathii	Candida_tropicalis	Lodderomyces_elongisporus	Spathaspora_passalidarum	Wickerhamomyces_anomalus	Tetrapisispora_blattae	Vanderwaltozyma_polyspora	Tetrapisispora_phaffii	Kluyveromyces_marxianus	Eremothecium_sinecaudum	Eremothecium_cymbalariae	Eremothecium_gossypii	Lachancea_thermotolerans	Lachancea_lanzarotensis	Naumovozyma_dairenensis	Kazachstania_naganishii	Kazachstania_africana	Saccharomyces_cerevisiae	Drosophila_ficusphila	Naumovozyma_castellii	Kuraishia_capsulata	Ogataea_parapolymorpha	Dipodomys_ordii
Oryza_brachyantha	0.40466	0.34197	0.34087	0.34303	0.34948	0.34008	0.43076	0.43904	0.33931	0.33701	0.33701	0.33701	0.33701	0.33929	0.33954	0.33932	0.34117	0.33701	0.337	0.37866	0.39518	0.39336	0.33771	0.33701	0.34331	0.39643	0.33777	0.3426	0.32547	0.32521	0.33445	0.34198	0.31649	0.40612	0.32638	0.31566	0.31178	0.31229	0.31017	0.3199	0.31132	0.40246	0.30668	0.29166	0.26531	0.25886	0.40978	0.4128	0.40976	0.76758	0.63911	0.63911	0.63908	0.54929	0.0	0.42273	0.45297	0.50682	0.47553	0.47615	0.47189	0.47115	0.44621	0.47203	0.48157	0.48921	0.50052	0.49031	0.49332	0.49094	0.49089	0.49236	0.49219	0.51969	0.48945	0.49023	0.49827	0.50184	0.50493	0.50559	0.50793	0.59015	0.50563	0.50728	0.49173	0.49319	0.49075	0.49079	0.49235	0.49765	0.49104	0.49364	0.50099	0.49477	0.49608	0.52815	0.49204	0.53412	0.55349	0.55242	0.56041	0.51659	0.54616	0.5419	0.5291	0.53364	0.52132	0.52131	0.35915	0.43707	0.39582	0.5304	0.5304	0.44133	0.41858	0.42801	0.48054	0.48054	0.4262	0.4294	0.43016	0.50008	0.50803	0.51483	0.40336	0.4025	0.40356	0.38265	0.39054	0.38736	0.38804	0.40341	0.40352	0.41956	0.44324	0.41793	0.44117	0.42956	0.43199	0.43826	0.44408	0.43955	0.45093	0.45685	0.46443	0.46016	0.46013	0.46014	0.46015	0.46345	0.46265	0.4605	0.45606	0.45766	0.45856	0.45765	0.43216	0.42891	0.43301	0.43136	0.46479	0.47132	0.45781	0.46165	0.46905	0.4641	0.46691	0.4603	0.47132	0.47191	0.47034	0.46324	0.46324	0.46478	0.46488	0.46156	0.4662	0.46148	0.48703	0.48619	0.40766	0.42155	0.4167	0.57093	0.44473	0.44318	0.44318	0.4395	0.45786	0.41554	0.42033	0.42024	0.42234	0.42539	0.42634	0.42803	0.42504	0.43619	0.46255	0.44942	0.45291	0.4563	0.45259	0.45368	0.45206	0.45108	0.45186	0.44717	0.45267	0.45104	0.45183	0.45183	0.45023	0.45628	0.44368	0.3393
Capsaspora_owczarzaki	0.49018	0.4275	0.4264	0.42856	0.435	0.4256	0.51628	0.52457	0.42483	0.42253	0.42253	0.42253	0.42253	0.42482	0.42506	0.42485	0.42669	0.42254	0.42253	0.46419	0.4807	0.47888	0.42323	0.42254	0.42884	0.48195	0.42329	0.42812	0.41099	0.41074	0.41997	0.4275	0.40201	0.49164	0.4119	0.40118	0.3973	0.39781	0.39569	0.40543	0.39685	0.48798	0.3922	0.37718	0.35083	0.34438	0.4953	0.49832	0.49528	0.8531	0.72463	0.72463	0.7246	0.63481	0.42273	0.0	0.1762	0.23005	0.19877	0.19938	0.19513	0.19438	0.16944	0.19526	0.2048	0.21244	0.22375	0.21354	0.21656	0.21418	0.21413	0.21559	0.21542	0.24292	0.21268	0.21346	0.2215	0.22507	0.22817	0.22882	0.23116	0.31338	0.22886	0.23051	0.21497	0.21642	0.21398	0.21403	0.21559	0.22089	0.21427	0.21687	0.22423	0.218	0.21932	0.25138	0.21528	0.25735	0.27672	0.27565	0.28364	0.23982	0.26939	0.26514	0.25233	0.25687	0.24455	0.24455	0.10952	0.18745	0.16262	0.29719	0.29719	0.20812	0.18537	0.19481	0.24733	0.24734	0.19299	0.19619	0.19695	0.26688	0.27482	0.28162	0.17015	0.16929	0.17035	0.14944	0.15733	0.15415	0.15484	0.17021	0.17031	0.18635	0.21003	0.18472	0.20797	0.19635	0.19878	0.20505	0.21087	0.20634	0.21772	0.22365	0.23123	0.22695	0.22693	0.22694	0.22694	0.23025	0.22944	0.22729	0.22285	0.22445	0.22535	0.22444	0.19895	0.1957	0.1998	0.19815	0.23159	0.23811	0.2246	0.22844	0.23585	0.2309	0.23371	0.22709	0.23811	0.2387	0.23713	0.23003	0.23003	0.23158	0.23167	0.22835	0.23299	0.22827	0.25383	0.25298	0.17445	0.18835	0.18349	0.33772	0.21152	0.20997	0.20997	0.20629	0.22466	0.18233	0.18713	0.18703	0.18913	0.19218	0.19313	0.19482	0.19183	0.20298	0.22935	0.21622	0.21971	0.2231	0.21938	0.22047	0.21886	0.21787	0.21865	0.21397	0.21946	0.21784	0.21863	0.21863	0.21702	0.22308	0.21047	0.42482
Guillardia_theta	0.52041	0.45773	0.45663	0.45879	0.46524	0.45584	0.54652	0.5548	0.45507	0.45277	0.45277	0.45277	0.45277	0.45505	0.45529	0.45508	0.45693	0.45277	0.45276	0.49442	0.51094	0.50912	0.45347	0.45277	0.45907	0.51218	0.45353	0.45835	0.44123	0.44097	0.45021	0.45774	0.43225	0.52187	0.44214	0.43142	0.42754	0.42805	0.42593	0.43566	0.42708	0.51821	0.42243	0.40742	0.38107	0.37462	0.52553	0.52856	0.52552	0.88334	0.75486	0.75487	0.75484	0.66505	0.45297	0.1762	0.0	0.19485	0.16356	0.16417	0.15992	0.15917	0.13423	0.16005	0.16959	0.17723	0.18854	0.17833	0.18135	0.17897	0.17892	0.18038	0.18021	0.20772	0.17747	0.17825	0.18629	0.18986	0.19296	0.19361	0.19595	0.27817	0.19365	0.1953	0.17976	0.18121	0.17877	0.17882	0.18038	0.18568	0.17906	0.18166	0.18902	0.18279	0.18411	0.21618	0.18007	0.22214	0.24151	0.24044	0.24843	0.20461	0.23419	0.22993	0.21712	0.22167	0.20934	0.20934	0.13976	0.21769	0.19285	0.32743	0.32743	0.23836	0.21561	0.22504	0.27757	0.27757	0.22323	0.22643	0.22719	0.29711	0.30506	0.31186	0.20039	0.19953	0.20059	0.17968	0.18757	0.18439	0.18507	0.20044	0.20055	0.21658	0.24027	0.21496	0.23821	0.22659	0.22902	0.23529	0.24111	0.23658	0.24796	0.25388	0.26146	0.25719	0.25716	0.25717	0.25718	0.26048	0.25968	0.25753	0.25309	0.25469	0.25559	0.25468	0.22919	0.22594	0.23004	0.22839	0.26182	0.26835	0.25484	0.25868	0.26608	0.26113	0.26394	0.25733	0.26835	0.26894	0.26737	0.26027	0.26027	0.26181	0.26191	0.25859	0.26323	0.25851	0.28407	0.28322	0.20469	0.21858	0.21373	0.36796	0.24176	0.24021	0.24021	0.23653	0.25489	0.21257	0.21736	0.21727	0.21937	0.22242	0.22337	0.22506	0.22207	0.23322	0.25958	0.24645	0.24994	0.25333	0.24962	0.25071	0.24909	0.24811	0.24889	0.2442	0.2497	0.24807	0.24886	0.24887	0.24726	0.25331	0.24071	0.45506
Auxenochlorella_protothecoides	0.57427	0.51159	0.51049	0.51265	0.5191	0.50969	0.60037	0.60866	0.50892	0.50663	0.50662	0.50662	0.50662	0.50891	0.50915	0.50894	0.51078	0.50663	0.50662	0.54828	0.56479	0.56298	0.50732	0.50663	0.51293	0.56604	0.50738	0.51221	0.49508	0.49483	0.50407	0.51159	0.4861	0.57573	0.49599	0.48527	0.48139	0.4819	0.47979	0.48952	0.48094	0.57207	0.47629	0.46128	0.43492	0.42848	0.57939	0.58241	0.57938	0.9372	0.80872	0.80873	0.80869	0.71891	0.50682	0.23005	0.19485	0.0	0.13157	0.13218	0.12793	0.12718	0.12694	0.15276	0.1623	0.16994	0.18125	0.17104	0.17406	0.17167	0.17163	0.17309	0.17292	0.20042	0.17018	0.17096	0.179	0.18257	0.18567	0.18632	0.18866	0.27088	0.18636	0.18801	0.17247	0.17392	0.17148	0.17153	0.17309	0.17839	0.17177	0.17437	0.18172	0.1755	0.17682	0.27003	0.23392	0.27599	0.29537	0.2943	0.30229	0.25847	0.28804	0.28378	0.27098	0.27552	0.2632	0.26319	0.19361	0.27154	0.24671	0.38129	0.38128	0.29222	0.26946	0.2789	0.33142	0.33143	0.27708	0.28028	0.28104	0.35097	0.35891	0.36572	0.25424	0.25338	0.25444	0.23353	0.24142	0.23825	0.23893	0.2543	0.25441	0.27044	0.29413	0.26882	0.29206	0.28044	0.28287	0.28914	0.29497	0.29044	0.30181	0.30774	0.31532	0.31104	0.31102	0.31103	0.31103	0.31434	0.31353	0.31138	0.30695	0.30854	0.30944	0.30853	0.28304	0.2798	0.28389	0.28225	0.31568	0.32221	0.30869	0.31253	0.31994	0.31499	0.3178	0.31119	0.3222	0.32279	0.32123	0.31413	0.31413	0.31567	0.31576	0.31244	0.31708	0.31236	0.33792	0.33708	0.25854	0.27244	0.26759	0.42182	0.29561	0.29406	0.29407	0.29038	0.30875	0.26642	0.27122	0.27112	0.27323	0.27627	0.27722	0.27891	0.27592	0.28707	0.31344	0.30031	0.3038	0.30719	0.30347	0.30457	0.30295	0.30196	0.30275	0.29806	0.30355	0.30193	0.30272	0.30272	0.30112	0.30717	0.29456	0.50892
Micromonas_pusilla	0.54298	0.4803	0.4792	0.48136	0.48781	0.4784	0.56908	0.57737	0.47763	0.47534	0.47533	0.47533	0.47533	0.47762	0.47786	0.47765	0.47949	0.47534	0.47533	0.51699	0.5335	0.53169	0.47604	0.47534	0.48164	0.53475	0.4761	0.48092	0.46379	0.46354	0.47278	0.4803	0.45482	0.54444	0.4647	0.45399	0.4501	0.45061	0.4485	0.45823	0.44965	0.54078	0.445	0.42999	0.40363	0.39719	0.5481	0.55112	0.54809	0.90591	0.77743	0.77744	0.7774	0.68762	0.47553	0.19877	0.16356	0.13157	0.0	0.01018	0.03413	0.03338	0.09565	0.12147	0.13101	0.13865	0.14996	0.13975	0.14277	0.14039	0.14034	0.1418	0.14163	0.16913	0.13889	0.13967	0.14771	0.15128	0.15438	0.15503	0.15737	0.23959	0.15507	0.15672	0.14118	0.14263	0.14019	0.14024	0.1418	0.1471	0.14048	0.14308	0.15044	0.14421	0.14553	0.23874	0.20263	0.24471	0.26408	0.26301	0.271	0.22718	0.25675	0.25249	0.23969	0.24423	0.23191	0.2319	0.16233	0.24025	0.21542	0.35	0.34999	0.26093	0.23817	0.24761	0.30013	0.30014	0.24579	0.24899	0.24975	0.31968	0.32762	0.33443	0.22295	0.2221	0.22316	0.20224	0.21013	0.20696	0.20764	0.22301	0.22312	0.23915	0.26284	0.23753	0.26077	0.24915	0.25159	0.25785	0.26368	0.25915	0.27053	0.27645	0.28403	0.27975	0.27973	0.27974	0.27975	0.28305	0.28225	0.28009	0.27566	0.27725	0.27815	0.27725	0.25176	0.24851	0.25261	0.25096	0.28439	0.29092	0.27741	0.28125	0.28865	0.2837	0.28651	0.2799	0.29091	0.2915	0.28994	0.28284	0.28284	0.28438	0.28447	0.28115	0.28579	0.28107	0.30663	0.30579	0.22725	0.24115	0.2363	0.39053	0.26432	0.26278	0.26278	0.25909	0.27746	0.23513	0.23993	0.23983	0.24194	0.24498	0.24593	0.24762	0.24463	0.25578	0.28215	0.26902	0.27251	0.2759	0.27219	0.27328	0.27166	0.27067	0.27146	0.26677	0.27226	0.27064	0.27143	0.27143	0.26983	0.27588	0.26327	0.47763
Micromonas_commoda	0.5436	0.48091	0.47981	0.48197	0.48842	0.47902	0.5697	0.57798	0.47825	0.47595	0.47595	0.47595	0.47595	0.47823	0.47847	0.47826	0.48011	0.47595	0.47594	0.5176	0.53412	0.5323	0.47665	0.47595	0.48225	0.53536	0.47671	0.48154	0.46441	0.46415	0.47339	0.48092	0.45543	0.54506	0.46532	0.4546	0.45072	0.45123	0.44911	0.45884	0.45026	0.54139	0.44562	0.4306	0.40425	0.3978	0.54871	0.55174	0.5487	0.90652	0.77805	0.77805	0.77802	0.68823	0.47615	0.19938	0.16417	0.13218	0.01018	0.0	0.03475	0.034	0.09627	0.12208	0.13163	0.13926	0.15057	0.14036	0.14338	0.141	0.14095	0.14242	0.14224	0.16975	0.13951	0.14028	0.14833	0.1519	0.15499	0.15565	0.15799	0.24021	0.15569	0.15734	0.14179	0.14324	0.14081	0.14085	0.14241	0.14771	0.14109	0.1437	0.15105	0.14482	0.14614	0.23936	0.20325	0.24532	0.26469	0.26362	0.27161	0.22779	0.25737	0.25311	0.24031	0.24485	0.23252	0.23252	0.16294	0.24087	0.21604	0.35061	0.35061	0.26154	0.23879	0.24823	0.30075	0.30075	0.24641	0.24961	0.25037	0.32029	0.32824	0.33504	0.22357	0.22271	0.22377	0.20286	0.21075	0.20757	0.20825	0.22363	0.22373	0.23977	0.26345	0.23814	0.26139	0.24977	0.2522	0.25847	0.26429	0.25976	0.27114	0.27707	0.28465	0.28037	0.28035	0.28035	0.28036	0.28367	0.28286	0.28071	0.27627	0.27787	0.27877	0.27786	0.25237	0.24912	0.25322	0.25157	0.28501	0.29153	0.27802	0.28186	0.28926	0.28431	0.28713	0.28051	0.29153	0.29212	0.29055	0.28345	0.28345	0.28499	0.28509	0.28177	0.28641	0.28169	0.30725	0.3064	0.22787	0.24177	0.23691	0.39114	0.26494	0.26339	0.26339	0.25971	0.27808	0.23575	0.24054	0.24045	0.24255	0.2456	0.24655	0.24824	0.24525	0.2564	0.28276	0.26963	0.27313	0.27652	0.2728	0.27389	0.27227	0.27129	0.27207	0.26738	0.27288	0.27125	0.27204	0.27205	0.27044	0.27649	0.26389	0.47824
Ostreococcus_tauri	0.53934	0.47666	0.47556	0.47772	0.48417	0.47476	0.56544	0.57373	0.47399	0.4717	0.4717	0.4717	0.4717	0.47398	0.47422	0.47401	0.47586	0.4717	0.47169	0.51335	0.52987	0.52805	0.4724	0.4717	0.478	0.53111	0.47246	0.47728	0.46015	0.4599	0.46914	0.47666	0.45118	0.5408	0.46106	0.45035	0.44646	0.44697	0.44486	0.45459	0.44601	0.53714	0.44136	0.42635	0.39999	0.39355	0.54446	0.54748	0.54445	0.90227	0.77379	0.7738	0.77376	0.68398	0.47189	0.19513	0.15992	0.12793	0.03413	0.03475	0.0	0.00232	0.09201	0.11783	0.12737	0.13501	0.14632	0.13611	0.13913	0.13675	0.1367	0.13816	0.13799	0.1655	0.13525	0.13603	0.14407	0.14764	0.15074	0.15139	0.15373	0.23595	0.15143	0.15308	0.13754	0.13899	0.13655	0.1366	0.13816	0.14346	0.13684	0.13944	0.1468	0.14057	0.14189	0.2351	0.199	0.24107	0.26044	0.25937	0.26736	0.22354	0.25311	0.24886	0.23605	0.24059	0.22827	0.22827	0.15869	0.23661	0.21178	0.34636	0.34635	0.25729	0.23453	0.24397	0.29649	0.2965	0.24216	0.24536	0.24612	0.31604	0.32399	0.33079	0.21931	0.21846	0.21952	0.1986	0.20649	0.20332	0.204	0.21937	0.21948	0.23551	0.2592	0.23389	0.25713	0.24551	0.24795	0.25421	0.26004	0.25551	0.26689	0.27281	0.28039	0.27611	0.27609	0.2761	0.27611	0.27941	0.27861	0.27645	0.27202	0.27362	0.27452	0.27361	0.24812	0.24487	0.24897	0.24732	0.28075	0.28728	0.27377	0.27761	0.28501	0.28006	0.28287	0.27626	0.28728	0.28786	0.2863	0.2792	0.2792	0.28074	0.28083	0.27752	0.28215	0.27743	0.30299	0.30215	0.22361	0.23751	0.23266	0.38689	0.26068	0.25914	0.25914	0.25545	0.27382	0.23149	0.23629	0.23619	0.2383	0.24135	0.24229	0.24399	0.241	0.25214	0.27851	0.26538	0.26887	0.27226	0.26855	0.26964	0.26802	0.26704	0.26782	0.26313	0.26862	0.267	0.26779	0.26779	0.26619	0.27224	0.25964	0.47399
Ostreococcus_sp.	0.53859	0.47591	0.47481	0.47697	0.48342	0.47401	0.56469	0.57298	0.47324	0.47095	0.47095	0.47095	0.47095	0.47323	0.47347	0.47326	0.47511	0.47095	0.47094	0.5126	0.52912	0.5273	0.47165	0.47095	0.47725	0.53036	0.47171	0.47653	0.4594	0.45915	0.46839	0.47591	0.45043	0.54005	0.46031	0.4496	0.44572	0.44622	0.44411	0.45384	0.44526	0.53639	0.44061	0.4256	0.39925	0.3928	0.54371	0.54673	0.5437	0.90152	0.77304	0.77305	0.77302	0.68323	0.47115	0.19438	0.15917	0.12718	0.03338	0.034	0.00232	0.0	0.09126	0.11708	0.12662	0.13426	0.14557	0.13536	0.13838	0.136	0.13595	0.13741	0.13724	0.16475	0.1345	0.13528	0.14332	0.14689	0.14999	0.15064	0.15298	0.2352	0.15068	0.15233	0.13679	0.13824	0.1358	0.13585	0.13741	0.14271	0.13609	0.13869	0.14605	0.13982	0.14114	0.23436	0.19825	0.24032	0.25969	0.25862	0.26661	0.22279	0.25236	0.24811	0.2353	0.23984	0.22752	0.22752	0.15794	0.23587	0.21103	0.34561	0.34561	0.25654	0.23378	0.24322	0.29574	0.29575	0.24141	0.24461	0.24537	0.31529	0.32324	0.33004	0.21857	0.21771	0.21877	0.19785	0.20575	0.20257	0.20325	0.21862	0.21873	0.23476	0.25845	0.23314	0.25638	0.24476	0.2472	0.25346	0.25929	0.25476	0.26614	0.27206	0.27964	0.27537	0.27534	0.27535	0.27536	0.27866	0.27786	0.27571	0.27127	0.27287	0.27377	0.27286	0.24737	0.24412	0.24822	0.24657	0.28	0.28653	0.27302	0.27686	0.28426	0.27931	0.28212	0.27551	0.28653	0.28711	0.28555	0.27845	0.27845	0.27999	0.28008	0.27677	0.28141	0.27669	0.30224	0.3014	0.22286	0.23676	0.23191	0.38614	0.25993	0.25839	0.25839	0.25471	0.27307	0.23075	0.23554	0.23544	0.23755	0.2406	0.24154	0.24324	0.24025	0.25139	0.27776	0.26463	0.26812	0.27151	0.2678	0.26889	0.26727	0.26629	0.26707	0.26238	0.26788	0.26625	0.26704	0.26704	0.26544	0.27149	0.25889	0.47324
Physcomitrella_patens	0.51366	0.45097	0.44987	0.45203	0.45848	0.44908	0.53976	0.54804	0.44831	0.44601	0.44601	0.44601	0.44601	0.44829	0.44854	0.44832	0.45017	0.44601	0.446	0.48766	0.50418	0.50236	0.44671	0.44601	0.45231	0.50543	0.44677	0.4516	0.43447	0.43421	0.44345	0.45098	0.42549	0.51512	0.43538	0.42466	0.42078	0.42129	0.41917	0.4289	0.42032	0.51145	0.41568	0.40066	0.37431	0.36786	0.51877	0.5218	0.51876	0.87658	0.74811	0.74811	0.74808	0.65829	0.44621	0.16944	0.13423	0.12694	0.09565	0.09627	0.09201	0.09126	0.0	0.0643	0.07385	0.08148	0.09279	0.08258	0.0856	0.08322	0.08317	0.08464	0.08446	0.11197	0.08173	0.0825	0.09055	0.09412	0.09721	0.09787	0.10021	0.18243	0.09791	0.09956	0.08401	0.08546	0.08303	0.08307	0.08463	0.08993	0.08331	0.08592	0.09327	0.08704	0.08836	0.20942	0.17331	0.21538	0.23475	0.23368	0.24167	0.19785	0.22743	0.22317	0.21037	0.21491	0.20258	0.20258	0.133	0.21093	0.1861	0.32067	0.32067	0.2316	0.20885	0.21829	0.27081	0.27081	0.21647	0.21967	0.22043	0.29035	0.2983	0.3051	0.19363	0.19277	0.19383	0.17292	0.18081	0.17763	0.17832	0.19369	0.19379	0.20983	0.23351	0.2082	0.23145	0.21983	0.22226	0.22853	0.23435	0.22982	0.2412	0.24712	0.25471	0.25043	0.25041	0.25041	0.25042	0.25373	0.25292	0.25077	0.24633	0.24793	0.24883	0.24792	0.22243	0.21918	0.22328	0.22163	0.25506	0.26159	0.24808	0.25192	0.25932	0.25438	0.25718	0.25057	0.26159	0.26218	0.26061	0.25351	0.25351	0.25505	0.25515	0.25183	0.25647	0.25175	0.27731	0.27646	0.19793	0.21182	0.20697	0.3612	0.235	0.23345	0.23345	0.22977	0.24814	0.20581	0.2106	0.21051	0.21261	0.21566	0.21661	0.2183	0.21531	0.22646	0.25282	0.23969	0.24319	0.24658	0.24286	0.24395	0.24233	0.24135	0.24213	0.23744	0.24294	0.24131	0.2421	0.24211	0.2405	0.24655	0.23395	0.4483
Selaginella_moellendorffii	0.53947	0.47679	0.47569	0.47785	0.4843	0.47489	0.56557	0.57386	0.47412	0.47183	0.47183	0.47183	0.47183	0.47411	0.47435	0.47414	0.47599	0.47183	0.47182	0.51348	0.53	0.52818	0.47253	0.47183	0.47813	0.53124	0.47259	0.47741	0.46028	0.46003	0.46927	0.47679	0.45131	0.54093	0.46119	0.45048	0.4466	0.4471	0.44499	0.45472	0.44614	0.53727	0.44149	0.42648	0.40013	0.39368	0.54459	0.54761	0.54458	0.9024	0.77392	0.77393	0.77389	0.68411	0.47203	0.19526	0.16005	0.15276	0.12147	0.12208	0.11783	0.11708	0.0643	0.0	0.08682	0.09446	0.10577	0.09556	0.09857	0.09619	0.09615	0.09761	0.09744	0.12494	0.0947	0.09548	0.10352	0.10709	0.11019	0.11084	0.11318	0.1954	0.11088	0.11253	0.09699	0.09844	0.096	0.09604	0.0976	0.10291	0.09629	0.09889	0.10624	0.10002	0.10134	0.23523	0.19913	0.2412	0.26057	0.2595	0.26749	0.22367	0.25324	0.24899	0.23618	0.24072	0.2284	0.2284	0.15882	0.23675	0.21191	0.34649	0.34649	0.25742	0.23466	0.2441	0.29662	0.29663	0.24229	0.24549	0.24625	0.31617	0.32412	0.33092	0.21945	0.21859	0.21965	0.19873	0.20663	0.20345	0.20413	0.2195	0.21961	0.23564	0.25933	0.23402	0.25726	0.24564	0.24808	0.25434	0.26017	0.25564	0.26702	0.27294	0.28052	0.27625	0.27622	0.27623	0.27624	0.27954	0.27874	0.27659	0.27215	0.27375	0.27465	0.27374	0.24825	0.245	0.2491	0.24745	0.28088	0.28741	0.2739	0.27774	0.28514	0.28019	0.283	0.27639	0.28741	0.28799	0.28643	0.27933	0.27933	0.28087	0.28096	0.27765	0.28229	0.27757	0.30312	0.30228	0.22374	0.23764	0.23279	0.38702	0.26081	0.25927	0.25927	0.25559	0.27395	0.23163	0.23642	0.23632	0.23843	0.24148	0.24242	0.24412	0.24113	0.25227	0.27864	0.26551	0.269	0.27239	0.26868	0.26977	0.26815	0.26717	0.26795	0.26326	0.26876	0.26713	0.26792	0.26792	0.26632	0.27237	0.25977	0.47412
