,Name,HSP.20,HSP.40,HSP.60,HSP.70,HSP.90,HSP.100,sum_HSP,total_number_protein
103,Aureobasidium_melanogenum,2,24,10,12,1,9,58,10583
104,Aureobasidium_namibiae,2,24,10,11,1,11,59,10258
105,Aureobasidium_pullulans,3,23,10,10,1,12,59,11844
106,Aureobasidium_subglaciale,3,25,10,11,1,10,60,10792
107,Aureococcus_anophagefferens,0,93,17,12,6,16,144,11501
108,Auricularia_subglabra,1,5,4,4,0,0,14,5290
109,Auxenochlorella_protothecoides,2,42,12,8,3,16,83,6999
110,Babesia_bigemina,2,22,10,6,4,8,52,4432
111,Babesia_bovis,2,21,10,6,4,11,54,3690
112,Babesia_microti,2,22,10,6,4,12,56,3595
113,Babesia_sp.,2,18,10,6,4,7,47,2830
114,Babjeviella_inositovora,0,20,11,9,1,8,49,6392
115,Balearica_regulorum,5,19,8,6,3,6,47,8821
116,Basidiobolus_meristosporus,7,40,15,23,1,19,105,15487
117,Batrachochytrium_dendrobatidis,3,29,11,6,2,11,62,8580
118,Batrachochytrium_salamandrivorans,5,24,12,6,2,9,58,10107
119,Baudoinia_compniacensis,3,27,10,9,1,9,59,10508
120,Beauveria_bassiana,5,23,10,16,3,15,72,11840
121,Beta_vulgaris,5,17,6,3,3,6,40,7154
122,Biomphalaria_glabrata,0,0,0,0,0,0,0,354
123,Bipolaris_zeicola,3,27,10,10,1,11,62,12851
124,Blastocystis_hominis,10,26,12,66,7,12,133,5820
125,Blastocystis_sp.,14,28,19,82,7,14,164,6377
126,Blastomyces_gilchristii,2,28,9,10,1,10,60,9690
127,Blumeria_graminis,5,12,7,6,1,6,37,4024
128,Bodo_saltans,1,63,13,17,4,10,108,18124
129,Bombyx_mori,13,27,10,11,3,6,70,14773
130,Bos_taurus,10,48,22,16,6,13,115,22011
131,Botryobasidium_botryosum,5,26,11,17,2,12,73,16483
132,Botryosphaeria_parva,3,22,10,10,1,12,58,10365
133,Botryotinia_fuckeliana,2,29,10,14,1,10,66,11022
134,Brachypodium_distachyon,25,87,27,30,8,39,216,26492
135,Branchiostoma_floridae,6,37,13,18,3,9,86,28542
136,Brassica_napus,38,166,67,52,25,45,393,60065
137,Brassica_oleracea,40,146,63,51,21,44,365,58535
138,Brassica_rapa,41,145,49,35,13,39,322,40801
139,Brettanomyces_bruxellensis,2,13,11,9,1,7,43,4857
140,Brugia_malayi,12,29,10,7,3,11,72,11318
